Sr. No.,Value date,Transaction Date,Cheque Number,Transacting Remarks,Withdrawal Amount,Deposit Amount,Balance
1,2020-01-01,2020-01-01 22:17,,Groceries - Online Delivery,130.50,0.00,14869.50
2,2020-01-02,2020-01-02 23:39,,Coffee Shop,22.46,0.00,14847.04
3,2020-01-02,2020-01-02 15:38,,Rental Income,0.00,3835.49,18682.53
4,2020-01-03,2020-01-03 06:40,,Dining - Fine Dining,817.62,0.00,17864.91
5,2020-01-03,2020-01-03 20:51,,Dining - Fine Dining,572.47,0.00,17292.44
6,2020-01-03,2020-01-03 21:49,,Salary - Regular,0.00,5459.66,22752.10
7,2020-01-04,2020-01-04 21:45,,Dining - Fine Dining,979.83,0.00,21772.27
8,2020-01-04,2020-01-04 19:19,,Cashback,0.00,105.14,21877.41
9,2020-01-05,2020-01-05 20:08,,Entertainment - Concerts,984.58,0.00,20892.83
10,2020-01-06,2020-01-06 12:10,,Cashback,0.00,263.17,21156.00
11,2020-01-06,2020-01-06 23:57,,Groceries - Supermarket,169.71,0.00,20986.29
12,2020-01-06,2020-01-06 08:48,,Salary - Bonus,0.00,24300.86,45287.15
13,2020-01-08,2020-01-08 18:44,,Dining - Fine Dining,511.78,0.00,44775.37
14,2020-01-08,2020-01-08 08:32,,Freelance Income,0.00,2429.71,47205.08
15,2020-01-08,2020-01-08 19:12,,Fuel,29.31,0.00,47175.77
16,2020-01-09,2020-01-09 16:42,,Dining - Casual Restaurant,55.67,0.00,47120.10
17,2020-01-09,2020-01-09 06:13,,Salary - Regular,0.00,3549.58,50669.68
18,2020-01-10,2020-01-10 06:47,,Investment Returns - Stocks,0.00,3692.59,54362.27
19,2020-01-10,2020-01-10 04:29,,Groceries - Online Delivery,121.95,0.00,54240.32
20,2020-01-12,2020-01-12 17:43,,Healthcare - Regular,173.42,0.00,54066.90
21,2020-01-13,2020-01-13 21:18,,Dining - Casual Restaurant,81.28,0.00,53985.62
22,2020-01-14,2020-01-14 20:27,,Groceries - Supermarket,442.71,0.00,53542.91
23,2020-01-15,2020-01-15 21:05,,Dividends,0.00,1469.24,55012.15
24,2020-01-16,2020-01-16 22:08,,Investment Returns - Stocks,0.00,6428.29,61440.44
25,2020-01-16,2020-01-16 05:30,,Public Transport,16.10,0.00,61424.34
26,2020-01-17,2020-01-17 00:45,,Utilities - Electricity,356.75,0.00,61067.59
27,2020-01-18,2020-01-18 10:32,,Salary - Regular,0.00,5209.49,66277.08
28,2020-01-18,2020-01-18 20:22,,Groceries - Supermarket,696.47,0.00,65580.61
29,2020-01-19,2020-01-19 02:12,,Salary - Regular,0.00,7241.30,72821.91
30,2020-01-19,2020-01-19 03:46,,Coffee Shop,26.02,0.00,72795.89
31,2020-01-20,2020-01-20 13:25,,Freelance Income,0.00,1984.89,74780.78
32,2020-01-21,2020-01-21 01:21,,Groceries - Supermarket,211.47,0.00,74569.31
33,2020-01-21,2020-01-21 08:21,,Salary - Regular,0.00,5938.26,80507.57
34,2020-01-22,2020-01-22 22:23,,Dining - Casual Restaurant,62.29,0.00,80445.28
35,2020-01-23,2020-01-23 06:27,,Groceries - Supermarket,432.27,0.00,80013.01
36,2020-01-23,2020-01-23 21:10,,Fuel,51.74,0.00,79961.27
37,2020-01-24,2020-01-24 17:11,,Salary - Regular,0.00,5832.81,85794.08
38,2020-01-26,2020-01-26 08:52,,Utilities - Electricity,343.46,0.00,85450.62
39,2020-01-27,2020-01-27 14:35,,Freelance Income,0.00,1790.22,87240.84
40,2020-01-27,2020-01-27 05:41,,Healthcare - Emergency,2876.43,0.00,84364.41
41,2020-01-28,2020-01-28 11:36,,Freelance Income,0.00,999.85,85364.26
42,2020-01-28,2020-01-28 17:52,,Groceries - Online Delivery,295.54,0.00,85068.72
43,2020-01-29,2020-01-29 03:07,,Groceries - Supermarket,251.86,0.00,84816.86
44,2020-01-30,2020-01-30 12:53,,Coffee Shop,9.52,0.00,84807.34
